n_steps,time,mean_reward
7,0h1min2s,0.15
21,0h2min17s,0.11
39,0h3min30s,0.07
56,0h4min34s,0.07
93,0h5min48s,0.09
123,0h6min53s,0.08
146,0h8min15s,0.09
181,0h9min21s,0.09
198,0h10min28s,0.1
230,0h11min38s,0.11
258,0h13min4s,0.12
310,0h14min17s,0.13
333,0h15min33s,0.14
380,0h17min3s,0.14
434,0h18min22s,0.16
466,0h19min24s,0.16
514,0h20min51s,0.18
583,0h21min57s,0.2
600,0h23min4s,0.2
754,0h24min22s,0.17
873,0h25min33s,0.21
975,0h26min33s,0.22
1018,0h27min42s,0.22
1182,0h28min45s,0.24
1437,0h29min47s,0.3
1764,0h30min50s,0.35
2014,0h31min58s,0.36
2218,0h33min3s,0.33
2572,0h34min4s,0.35
3391,0h35min4s,0.35
3558,0h36min5s,0.36
4433,0h37min5s,0.35
6055,0h38min5s,0.35
7658,0h39min5s,0.36
