Wall time,Step,mean_reward,time,mean_reward1
0.0,500,0.19,0h0min0s,-619.9578857421875
2531.937577009201,1000,0.17,0h42min11s,-659.9505004882812
3765.4292731285095,1500,0.32,1h2min45s,-359.9433898925781
4753.171366214752,2000,0.36,1h19min13s,-279.9398193359375
5603.4454870224,2500,0.45,1h33min23s,-99.93204498291016
5953.12507390976,3000,0.63,1h39min13s,260.0785827636719
6280.76510643959,3500,0.76,1h44min40s,520.0908813476562
6653.7485246658325,4000,0.67,1h50min53s,340.0845947265625
6938.713017463684,4500,0.72,1h55min38s,440.0846862792969
7271.637518882751,5000,0.85,2h1min11s,700.0897216796875
7734.009758234024,5500,0.83,2h8min54s,660.090576171875
7837.586462020874,6000,0.82,2h10min37s,640.087646484375
7943.630541563034,6500,0.83,2h12min23s,660.0878295898438
8051.977277755737,7000,0.87,2h14min11s,740.0906982421875
8155.027869939804,7500,0.89,2h15min55s,780.0914916992188
8258.726746797562,8000,0.88,2h17min38s,760.0884399414062
8363.73950791359,8500,0.88,2h19min23s,760.0869750976562
8468.140001535416,9000,0.91,2h21min8s,820.087890625
8573.734901428223,9500,0.88,2h22min53s,760.0864868164062
8680.926755189896,10000,0.8,2h24min40s,600.0816040039062
8784.714227199554,10500,0.84,2h26min24s,680.0847778320312
8947.304383039474,11000,0.86,2h29min7s,720.0867309570312
9057.660276412964,11500,0.89,2h30min57s,780.0887451171875
9163.433761835098,12000,0.93,2h32min43s,860.0858154296875
9444.09928703308,12500,0.91,2h37min24s,820.0868530273438
9585.092446804048,13000,0.91,2h39min45s,820.0829467773438
9683.372879981996,13500,0.98,2h41min23s,960.088134765625
9781.776933431624,14000,0.97,2h43min1s,940.0869750976562
9879.826029539108,14500,0.98,2h44min39s,960.0904541015624
9978.181978225708,15000,0.96,2h46min18s,920.0899658203124
